Radiation Energy,Intensity
KeV,counts
0.8379747,0.0
1.6759494,0.0
2.5139241,12.0
3.3518988,9.5
4.1898735,11.5
5.027848199999999,241.5
5.8658229,777.5
6.7037976,677.0
7.5417723,632.5
8.379747,613.5
9.2177217,572.0
10.0556964,590.0
10.8936711,596.0
11.7316458,541.5
12.5696205,562.5
13.4075952,575.0
14.2455699,636.5
15.0835446,591.0
15.9215193,651.0
16.759494,646.5
17.5974687,685.5
18.4354434,730.0
19.2734181,818.5
20.1113928,959.5
20.9493675,1133.5
21.7873422,1417.0
22.6253169,1825.0
23.4632916,2501.5
24.3012663,3638.5
25.139241,5405.5
25.9772157,7863.5
26.8151904,11278.0
27.6531651,15206.0
28.4911398,20314.0
29.3291145,25159.5
30.1670892,29588.5
31.0050639,33009.5
31.8430386,34662.0
32.6810133,34127.0
33.518988,31894.0
34.3569627,28287.5
35.1949374,23894.0
36.0329121,19402.0
36.8708868,14964.0
37.7088615,11343.5
38.5468362,8326.5
39.3848109,6017.0
40.2227856,4368.5
41.0607603,3127.0
41.898735,2330.0
42.7367097,1772.0
43.5746844,1348.0
44.4126591,1132.5
45.2506338,1000.0
46.0886085,968.0
46.9265832,1013.5
47.7645579,1050.5
48.6025326,1110.0
49.4405073,1219.0
50.278482,1269.0
51.1164567,1373.5
51.9544314,1519.0
52.7924061,1613.0
53.6303808,1749.5
54.4683555,1787.0
55.3063302,1858.5
56.1443049,1904.5
56.9822796,1927.5
57.8202543,1873.5
58.658229,1815.5
59.4962037,1815.0
60.3341784,1860.5
61.1721531,1850.0
62.0101278,1877.0
62.8481025,1964.0
63.6860772,1954.5
64.5240519,2111.5
65.3620266,2176.5
66.2000013,2323.0
67.037976,2415.5
67.87595069999999,2470.5
68.7139254,2439.5
69.5519001,2485.0
70.3898748,2440.5
71.22784949999999,2421.5
72.0658242,2295.0
72.9037989,2228.5
73.7417736,2195.0
74.57974829999999,2183.0
75.417723,2163.0
76.2556977,2255.0
77.0936724,2388.5
77.93164709999999,2599.0
78.7696218,2962.0
79.6075965,3296.0
80.44557119999999,3759.5
81.2835459,4344.5
82.1215206,4941.0
82.9594953,5702.0
83.79746999999999,6374.5
84.6354447,7123.0
85.4734194,7791.5
86.3113941,8348.0
87.14936879999999,8807.0
87.9873435,9189.5
88.8253182,9568.0
89.6632929,9472.5
90.5012676,9133.5
91.3392423,8805.5
92.177217,8376.5
93.0151917,7760.5
93.8531664,7068.0
94.6911411,6116.5
95.5291158,5439.5
96.3670905,4662.5
97.2050652,3966.5
98.0430399,3257.5
98.8810146,2714.5
99.7189893,2268.0
100.556964,1914.0
101.3949387,1528.0
102.2329134,1255.0
103.0708881,1089.0
103.9088628,891.5
104.7468375,811.0
105.5848122,715.5
106.4227869,684.5
107.2607616,654.0
108.0987363,654.5
108.936711,657.5
109.7746857,672.5
110.6126604,676.0
111.4506351,684.0
112.2886098,695.0
113.1265845,713.5
113.9645592,789.0
114.8025339,797.5
115.6405086,888.5
116.4784833,853.0
117.316458,984.0
118.1544327,992.5
118.9924074,1086.0
119.8303821,1201.0
120.6683568,1214.5
121.5063315,1267.0
122.3443062,1349.5
123.1822809,1396.5
124.0202556,1387.5
124.8582303,1443.0
125.696205,1456.0
126.5341797,1463.0
127.3721544,1430.5
128.2101291,1380.5
129.0481038,1278.0
129.8860785,1230.0
130.7240532,1178.5
131.5620279,1121.5
132.4000026,1060.5
133.23797729999998,988.5
134.075952,896.5
134.9139267,869.0
135.75190139999998,754.5
136.5898761,738.0
137.4278508,707.0
138.2658255,642.5
139.1038002,628.5
139.94177489999998,588.0
140.7797496,586.0
141.6177243,563.0
142.45569899999998,545.0
143.2936737,547.0
144.1316484,505.0
144.9696231,535.0
145.8075978,519.5
146.6455725,551.5
147.4835472,540.5
148.3215219,549.5
149.15949659999998,518.5
149.9974713,605.0
150.835446,591.0
151.67342069999998,589.0
152.5113954,620.0
153.3493701,625.5
154.1873448,616.0
155.0253195,614.5
155.86329419999998,680.0
156.7012689,636.0
157.5392436,628.0
158.37721829999998,651.5
159.215193,675.0
160.0531677,661.5
160.89114239999998,693.5
161.7291171,688.0
162.5670918,698.0
163.4050665,699.0
164.2430412,696.5
165.08101589999998,732.0
165.9189906,720.5
166.7569653,724.0
167.59493999999998,733.5
168.4329147,713.0
169.2708894,734.5
170.1088641,712.5
170.9468388,724.5
171.78481349999998,713.0
172.6227882,712.5
173.4607629,743.0
174.29873759999998,713.0
175.1367123,741.0
175.974687,685.5
176.81266169999998,710.0
177.6506364,677.0
178.4886111,655.5
179.3265858,685.0
180.1645605,674.0
181.0025352,623.0
181.8405099,649.5
182.6784846,662.0
183.5164593,659.5
184.354434,609.0
185.1924087,641.5
186.0303834,604.5
186.8683581,623.0
187.7063328,626.5
188.5443075,575.0
189.3822822,565.0
190.2202569,579.0
191.0582316,599.5
191.8962063,568.0
192.734181,551.0
193.5721557,576.0
194.4101304,566.5
195.2481051,549.0
196.0860798,548.0
196.9240545,526.0
197.7620292,525.5
198.6000039,563.0
199.4379786,551.5
200.2759533,536.5
201.113928,547.5
201.9519027,530.0
202.7898774,518.5
203.6278521,538.0
204.4658268,506.0
205.3038015,506.5
206.1417762,522.5
206.9797509,509.5
207.8177256,486.5
208.6557003,523.5
209.493675,505.0
210.3316497,488.5
211.1696244,490.0
212.0075991,470.0
212.8455738,469.0
213.6835485,452.0
214.5215232,450.0
215.3594979,454.5
216.1974726,419.0
217.0354473,447.5
217.873422,411.5
218.7113967,410.5
219.5493714,423.0
220.3873461,421.0
221.2253208,376.5
222.0632955,376.5
222.9012702,406.0
223.7392449,380.0
224.5772196,375.0
225.4151943,411.5
226.253169,399.0
227.0911437,358.0
227.9291184,377.5
228.7670931,366.5
229.6050678,345.5
230.4430425,376.0
231.2810172,380.0
232.1189919,365.5
232.9569666,351.0
233.7949413,349.5
234.632916,337.0
235.4708907,357.0
236.3088654,357.5
237.1468401,337.0
237.9848148,337.0
238.8227895,333.5
239.6607642,348.0
240.4987389,338.5
241.3367136,310.0
242.1746883,306.5
243.012663,336.0
243.8506377,315.5
244.6886124,318.0
245.5265871,335.0
246.3645618,304.5
247.2025365,326.0
248.0405112,321.0
248.8784859,286.5
249.7164606,315.5
250.5544353,294.5
251.39241,291.0
252.2303847,316.5
253.0683594,307.0
253.9063341,320.0
254.7443088,312.0
255.5822835,305.0
256.4202582,320.5
257.2582329,303.5
